Date,Price,Open,High,Low,Vol.,Change %,change
02/07/2024,"27,905.95","27,270.63","28,281.10","27,270.63",278.98M,2.33%,Positive
02/06/2024,"27,270.63","27,665.75","27,881.32","27,034.49",367.85M,-1.43%,Negative
02/05/2024,"27,665.75","27,573.50","27,902.36","27,501.60",338.56M,0.33%,Positive
02/04/2024,"27,573.50","28,434.37","28,477.74","27,162.86",224.42M,-3.03%,Negative
02/01/2024,"28,434.37","28,281.91","28,486.91","26,465.07",241.29M,0.54%,Positive
01/31/2024,"28,281.91","30,347.30","30,695.60","28,224.41",415.49M,-6.81%,Negative
01/30/2024,"30,347.30","29,227.79","30,347.30","29,193.92",324.39M,3.83%,Positive
01/29/2024,"29,227.79","28,625.76","29,430.92","28,625.76",281.64M,2.10%,Positive
01/28/2024,"28,625.76","27,666.18","28,847.92","27,666.18",303.44M,3.47%,Positive
01/24/2024,"27,666.18","27,587.00","27,702.46","27,467.36",345.10M,0.29%,Positive
01/23/2024,"27,587.00","28,050.33","28,102.33","27,536.52",434.08M,-1.65%,Negative
01/22/2024,"28,050.33","27,719.37","28,120.90","27,719.37",489.31M,1.19%,Positive
01/21/2024,"27,719.37","26,842.67","27,741.56","26,842.67",249.24M,3.27%,Positive
01/18/2024,"26,842.67","26,758.26","26,931.61","26,670.26",194.42M,0.32%,Positive
01/17/2024,"26,758.26","26,938.14","27,166.98","26,756.70",266.31M,-0.67%,Negative
01/16/2024,"26,938.14","26,250.73","26,938.14","26,250.73",290.36M,2.62%,Positive
01/15/2024,"26,250.73","25,974.84","26,377.36","25,974.84",201.50M,1.06%,Positive
01/14/2024,"25,974.84","25,519.25","25,996.31","25,519.25",154.23M,1.79%,Positive
01/11/2024,"25,519.25","25,466.75","25,576.13","25,367.83",170.77M,0.21%,Positive
01/10/2024,"25,466.75","25,589.99","25,708.30","25,466.75",163.37M,-0.48%,Negative
01/09/2024,"25,589.99","25,344.63","25,622.96","25,344.63",206.91M,0.97%,Positive
01/08/2024,"25,344.63","25,350.28","25,495.50","25,278.23",149.77M,-0.02%,Negative
01/04/2024,"25,350.28","25,408.51","25,478.96","25,323.85",189.08M,-0.23%,Negative
01/03/2024,"25,408.51","25,501.94","25,653.23","25,381.93",309.40M,-0.37%,Negative
01/02/2024,"25,501.94","24,894.26","25,501.94","24,894.26",184.29M,2.44%,Positive
12/31/2023,"24,894.26","24,691.43","25,144.43","24,691.43",146.38M,0.82%,Positive
12/28/2023,"24,691.43","24,351.12","25,780.70","24,351.12",199.10M,1.40%,Positive
12/27/2023,"24,351.12","23,994.54","24,481.08","23,994.54",178.66M,1.49%,Positive
12/26/2023,"23,994.54","24,226.68","24,408.08","23,857.50",229.16M,-0.96%,Negative
12/25/2023,"24,226.68","23,822.17","24,262.07","23,728.23",163.86M,1.70%,Positive
12/24/2023,"23,822.17","24,305.09","24,579.60","23,822.17",153.02M,-1.99%,Negative
12/21/2023,"24,305.09","24,837.56","25,077.59","24,261.88",172.27M,-2.14%,Negative
12/20/2023,"24,837.56","25,076.42","25,263.79","24,831.11",122.18M,-0.95%,Negative
12/19/2023,"25,076.42","25,334.09","25,532.20","25,076.42",194.99M,-1.02%,Negative
12/18/2023,"25,334.09","24,792.14","25,422.08","24,792.14",204.88M,2.19%,Positive
12/17/2023,"24,792.14","24,722.82","24,979.60","24,722.82",152.26M,0.28%,Positive
12/14/2023,"24,722.82","24,773.92","25,056.43","24,722.82",239.11M,-0.21%,Negative
12/13/2023,"24,773.92","24,071.66","24,828.13","24,071.66",210.27M,2.92%,Positive
12/12/2023,"24,071.66","24,182.06","24,414.73","23,968.87",203.89M,-0.46%,Negative
12/11/2023,"24,182.06","24,189.83","24,260.98","23,941.25",249.97M,-0.03%,Negative
12/10/2023,"24,189.83","24,686.16","24,773.06","24,189.83",231.64M,-2.01%,Negative
12/07/2023,"24,686.16","24,703.55","24,712.70","24,055.32",234.73M,-0.07%,Negative
12/06/2023,"24,703.55","25,127.91","25,311.40","24,702.38",280.24M,-1.69%,Negative
12/05/2023,"25,127.91","25,265.41","25,446.14","24,977.73",399.97M,-0.54%,Negative
12/04/2023,"25,265.41","24,571.98","25,323.48","24,571.98",357.89M,2.82%,Positive
12/03/2023,"24,571.98","24,735.39","24,809.93","24,491.70",227.29M,-0.66%,Negative
